time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,orient_x,orient_y,orient_z,accel_x,accel_y,accel_z,angvel_x,angvel_y,angvel_z,yaw,roll,pitch
28.240000000000002,-5.923588546112943,-2.4618182086171743,0.0,0.5100736862345832,9.98698276931582,0.0,0.0,0.0,87.07622429491767,1.0363813574734646,-0.0529319887259109,0.0,0.0,0.0,-5.945767517664053,87.07622429491767,0.0,0.0
28.28,-5.902344082698111,-2.062383066766518,0.0,0.5524596729445972,9.984727753412706,0.0,0.0,0.0,86.83302684820417,1.0829095156100457,-0.05991789176405293,0.0,0.0,0.0,-6.214104818011192,86.83302684820417,0.0,0.0
28.32,-5.8793669712681655,-1.6630438745386655,0.0,0.5967057263710562,9.982181238392538,0.0,0.0,0.0,86.5790959094768,1.1293835714036693,-0.06751126113940263,0.0,0.0,0.0,-6.48244211835833,86.5790959094768,0.0,0.0
28.36,-5.854582854269608,-1.2638127847729805,0.0,0.642809543961635,9.979318408097411,0.0,0.0,0.0,86.3144314787355,1.175796505337899,-0.07573795969619104,0.0,0.0,0.0,-6.750779418705505,86.3144314787355,0.0,0.0
28.400000000000002,-5.827917472022787,-0.8647029636252164,0.0,0.690768530633999,9.976113413403326,0.0,0.0,0.0,86.03903355598035,1.2221407064580767,-0.08462377130695038,0.0,0.0,0.0,-7.019116719052644,86.03903355598035,0.0,0.0
28.44,-5.799296674902571,-0.4657286318199354,0.0,0.7405797746426153,9.972539375574824,0.0,0.0,0.0,85.75290214121131,1.2684079486092272,-0.09419439095288389,0.0,0.0,0.0,-7.287454019399782,85.75290214121131,0.0,0.0
28.48,-5.768646436503352,-0.06690510576131814,0.0,0.792240022497917,9.968568390032367,0.0,0.0,0.0,85.45603723442836,1.3145893668226052,-0.10447541400111532,0.0,0.0,0.0,-7.555791319746961,85.45603723442836,0.0,0.0
28.52,-5.7358928678261405,0.33175116151566897,0.0,0.8457456529442169,9.964171530565196,0.0,0.0,0.0,85.14843883563155,1.3606754338689315,-0.11549232464862627,0.0,0.0,0.0,-7.824128620094095,85.14843883563155,0.0,0.0
28.560000000000002,-5.700962232525204,0.7302225395725515,0.0,0.9010926500034602,9.95931885402359,0.0,0.0,0.0,84.83010694482087,1.4066559369977925,-0.12727048350303163,0.0,0.0,0.0,-8.092465920441233,84.83010694482087,0.0,0.0
28.6,-5.66378096325156,1.1284901799918856,0.0,0.9582765750925444,9.953979405525658,0.0,0.0,0.0,84.50104156199629,1.452519954883897,-0.13983511427068424,0.0,0.0,0.0,-8.360803220788373,84.50104156199629,0.0,0.0
28.64,-5.624275679130138,1.5265339760213585,0.0,1.017292538223046,9.948121224214937,0.0,0.0,0.0,84.16124268715784,1.498255834802643,-0.15321128952307772,0.0,0.0,0.0,-8.62914052113551,84.16124268715784,0.0,0.0
28.68,-5.582373204407139,1.9243325224596788,0.0,1.0781351682929456,9.941711349606262,0.0,0.0,0.0,83.81071032030545,1.5438511700588222,-0.16742391551295147,0.0,0.0,0.0,-8.897477821482688,83.81071032030545,0.0,0.0
28.72,-5.538000588303746,2.3218630758085084,0.0,1.1407985824809346,9.934715828558433,0.0,0.0,0.0,83.44944446143921,1.589292777693885,-0.18249771601201942,0.0,0.0,0.0,-9.165815121829823,83.44944446143921,0.0,0.0
28.76,-5.491085126111755,2.7191015147171242,0.0,1.2052763547551355,9.927099722913443,0.0,0.0,0.0,83.0774451105591,1.634566676498959,-0.1984572151428623,0.0,0.0,0.0,-9.434152422176961,83.0774451105591,0.0,0.0
28.8,-5.441554381566409,3.116022300745996,0.0,1.2715614835088471,9.918827117842955,0.0,0.0,0.0,82.69471226766504,1.6796580653622346,-0.21532671917807078,0.0,0.0,0.0,-9.70248972252414,82.69471226766504,0.0,0.0
28.84,-5.389336210531041,3.5125984394792056,0.0,1.339646358337364,9.909861130943936,0.0,0.0,0.0,82.30124593275715,1.724551301981264,-0.23313029728047252,0.0,0.0,0.0,-9.970827022871278,82.30124593275715,0.0,0.0
28.88,-5.3343587860275035,3.9088014420168022,0.0,1.4095227259712342,9.900163922126271,0.0,0.0,0.0,81.89704610583537,1.7692298819724372,-0.25189176115903794,0.0,0.0,0.0,-10.239164323218418,81.89704610583537,0.0,0.0
28.92,-5.276550624645934,4.304601286878729,0.0,1.4811816553822768,9.889696704336236,0.0,0.0,0.0,81.48211278689972,1.8136764184115313,-0.2716346436157864,0.0,0.0,0.0,-10.507501623565556,81.48211278689972,0.0,0.0
28.96,-5.215840614366494,4.6999663823553846,0.0,1.5546135020805036,9.87841975516069,0.0,0.0,0.0,81.0564459759502,1.8578726218412533,-0.2923821759599985,0.0,0.0,0.0,-10.77583892391269,81.0564459759502,0.0,0.0
